Reference,Quantity,Value,Footprint,Datasheet,Rating,Part Number
"U2","1","MDBT42Q","detect_trigger:mdbt42Q","http://www.raytac.com/download/MDBT42/MDBT42Q-Version%20B.pdf","",""
"C2;C8","2","10u","Capacitors_SMD:C_0805","",">10V",""
"C6","1","100n","Capacitors_SMD:C_0805","","",""
"C1;C4","2","1u","Capacitors_SMD:C_0805","","",""
"L2","1","10u","Capacitors_SMD:C_0805","","",""
"L1","1","15n","Capacitors_SMD:C_0603","","",""
"C5;C7","2","8.2p","Capacitors_SMD:C_0603","","",""
"P1","1","CONN_02X05","detect_trigger:prog_connect","","",""
"Q1","1","TSM2301","TO_SOT_Packages_SMD:SOT-23","http://www.farnell.com/datasheets/2044652.pdf","","TSM2301CX"
"D2","1","IR26-21C-L110-TR8","detect_trigger:IR26-21C-L110","http://www.everlight.com/file/ProductFile/IR26-21C-L110-TR8.pdf","",""
"R4","1","82E","Resistors_SMD:R_0805","","",""
"R5","1","68E","Resistors_SMD:R_0805","","",""
"R6","1","33E","Resistors_SMD:R_0805","","",""
"R7","1","130E","Resistors_SMD:R_0805","","",""
"BT1","1","AA battery","detect_trigger:AA_keystone_206","http://www.keyelco.com/product-pdf.cfm?p=847","",""
"L3","1","4.7u","Capacitors_SMD:C_0805","","",""
"R1;R3","2","390E","Resistors_SMD:R_0805","","",""
"C3","1","100n","Capacitors_SMD:C_0805","",">10V",""
"U1","1","TPS610986","Housings_SON:WSON6_1.5x1.5mm_Pitch0.5mm","http://www.ti.com/lit/ds/symlink/tps610985.pdf","","TPS610986"
"D1","1","5050_RGB_LED","LEDs:LED_RGB_5050-6","https://d114hh0cykhyb0.cloudfront.net/pdfs/5050-RGB.pdf","",""
"R2","1","47k","Resistors_SMD:R_0805","","",""
"SW1","1","1825910-6","Buttons_Switches_SMD:SW_SPST_B3SL-1002P","https://media.digikey.com/pdf/Data%20Sheets/E-Switch%20PDFs/TL3304AF260QJ_Dwg.pdf","",""
"Y1","1","ECS-3X8X","Crystals:Crystal_C38-LF_d3.0mm_l8.0mm_Horizontal","https://www.ecsxtal.com/store/pdf/ECS-3x8X%202x6X%201X5X.pdf","",""
"MK1","1","Mounting_Hole_PAD","detect_trigger:MountingHole_1.7mm_M1.6","","",""
"J1","1","SJ2-35863B1","detect_trigger:SJ2-35863B1-SMT","http://www.cui.com/product/resource/digikeypdf/sj2-3586x-smt.pdf","",""
