"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Crystal_C38-LF_d3.0mm_l8.0mm_Horizontal";1;"32786Hz";;;
2;"C5,C7";"C_0805";2;"8.2p";;;
3;"D2";"IR26-21C-L110_5mm-TH";1;"IR26-21C-L110-TR8";;;
4;"MK2,MK1";"MountingHole_1.7mm_M1.6";2;"Mounting_Hole_PAD";;;
5;"BT1";"AA_keystone_206";1;"AA battery";;;
6;"SW1";"SW_SPST_B3SL-1002P";1;"TL3304AF260QJ";;;
7;"D1";"LED_RGB_5050-6";1;"CLX6F-FKC";;;
8;"R5";"R_0805";1;"82E";;;
9;"P1";"prog_connect";1;"CONN_02X05";;;
10;"U2";"mdbt42Q";1;"MDBT42Q";;;
11;"U1";"WSON6_1.5x1.5mm_Pitch0.5mm";1;"TPS610986";;;
12;"R7";"R_0805";1;"130";;;
13;"R6,R4";"R_0805";2;"22E";;;
14;"R3,R1";"R_0805";2;"390E";;;
15;"R2";"R_0805";1;"47k";;;
16;"Q1";"TSM2301";1;"TSM2301";;;
17;"L3";"C_0805";1;"4.7u";;;
18;"L2,C8,C2";"C_0805";3;"10u";;;
19;"L1";"C_0603";1;"15n";;;
20;"C6,C3";"C_0805";2;"100n";;;
21;"C4,C1";"C_0805";2;"1u";;;
22;"J1";"SJ2-35863B1-SMT";1;"SJ2-35863B1";;;
